bac_type,bac_type_id,bac_type_name,extracted_at,extraction_phase,field_of_study,final_merge_timestamp,governorate,institution,ramz_code,ramz_id,ramz_link,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,score_2021,score_2022,score_2023,score_2024,scores_corrected_at,seven_percent,specialization_code_detailed,study_duration,table_criteria,table_institution,table_location,table_specialization,table_university,university,university_id,university_name
,2,رياضيات,2025-07-11T18:21:12.019309,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",22103,222103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=222103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.8251,93.4883,0.0,0.0,0.0,2025-07-11T22:16:34.426913,نعم,,سنوات,FG+F,المعهد العالي للغات بنابل,نابل,الإجازة في الفرنسية,جامعة قرطاج,,04,جامعة  قرطاج
,2,رياضيات,2025-07-11T18:21:11.211125,detailed,الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10209,210209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5397,112.4569,122.5632,117.9388,113.6926,122.7932,2025-07-11T22:16:38.924573,نعم,,سنوات,FG+PH,المعهد العالى للفنون الجميلة بتونس,تونس,الاجازة في تصميم الصورة,جامعة تونس,,01,جامعة تونس
,4,إقتصاد وتصرف,2025-07-11T18:21:14.821160,detailed,الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",11209,411209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=411209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.365,116.29,110.225,110.2368,94.0406,100.4409,2025-07-11T22:16:43.708221,نعم,,سنوات,FG+PH,المدرسة العليا لعلوم و تكنولوجيات التصميم,تونس,الاجازة في تصميم الصورة,جامعة منوبة,,02,جامعة منوبة
,4,إقتصاد وتصرف,2025-07-11T18:21:12.747524,detailed,السياحة والتنشيط والرياضة والتربية البدنية : السياحة والتنشيط والرياضة والتربية البدنية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10453,410453,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410453,95.4749,95.925,92.475,94.7,87.0419,88.6583,88.4751,92.175,93.525,86.4152,103.47,92.745,95.5699,97.9399,2025-07-11T22:16:48.399591,نعم,,سنوات,FG+(F+ANG)/2,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,تونس,الإجازة في الفندقة,جامعة قرطاج,,04,جامعة  قرطاج
,2,رياضيات,2025-07-11T18:21:14.104872,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",13101,213101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=213101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7749,137.205,0.0,0.0,2025-07-11T22:16:52.613150,نعم,,سنوات,FG+AR,المعهد العالي للغات بتونس,تونس,الإجازة في العربية,جامعة قرطاج,,04,جامعة  قرطاج
,3,علوم تجريبية,2025-07-11T18:21:15.115790,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10509,310509,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310509,136.7728,125.5645,130.219,125.511,135.2748,123.5315,125.083,117.0313,95.863,108.4624,114.2921,94.365,102.7,104.7985,2025-07-11T22:16:58.023918,نعم,,سنوات,FG+SVT,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,تونس,الإجازة في علوم الأحياء,جامعة منوبة,,02,جامعة منوبة
,2,رياضيات,2025-07-11T18:21:15.131735,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",11121,211121,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.105,134.195,161.24,156.31,153.2,157.945,2025-07-11T22:17:03.202612,نعم,,سنوات,FG+PH,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في علم النـفـــس,جامعة تونس المنار,,03,جامعة تونس المنار
,4,إقتصاد وتصرف,2025-07-11T18:21:14.758168,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10470,410470,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.93,105.69,122.15,106.5451,112.825,123.74,2025-07-11T22:17:07.876580,نعم,,سنوات,FG+PH,المعهد العالي لإطارات الطفولة بقرطاج درمش,تونس,الإجازة في علوم التربية,جامعة قرطاج,,04,جامعة  قرطاج
,2,رياضيات,2025-07-11T18:21:15.179397,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",11523,211523,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=211523,125.8,125.3238,124.6818,128.675,132.1718,127.0893,125.6715,112.5,167.1447,163.3462,182.3815,184.2166,187.57,191.5889,2025-07-11T22:17:12.514776,نعم,,سنوات,FG+(M+Info)/2,المعهد العالي للاعلامية,تونس,الإجازة في علوم الإعلامية,جامعة تونس المنار,,03,جامعة تونس المنار
,2,رياضيات,2025-07-11T18:21:15.952759,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10509,210509,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210509,128.4,123.4512,125.2703,129.8445,148.8103,112.8048,113.7143,117.025,0.0,101.7375,109.7584,105.2932,107.5102,109.865,2025-07-11T22:17:17.381589,نعم,,سنوات,FG+SVT,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,تونس,الإجازة في علوم الأحياء,جامعة منوبة,,02,جامعة منوبة
,3,علوم تجريبية,2025-07-11T18:21:30.631423,detailed,العلوم الفلاحية والبيوتكنولوجيا والبيئة : العلوم الفلاحية والبيوتكنولوجيا والبيئة,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10546,310546,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310546,114.6773,99.025,100.075,97.85,109.3273,113.4,111.2,105.0,109.87,116.1268,122.4,109.4255,114.5006,112.9813,2025-07-11T22:17:23.698779,نعم,,سنوات,FG+(SP+SVT)/2,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,تونس,الإجازة في البيوتكنولوجيا,جامعة منوبة,,02,جامعة منوبة
,4,إقتصاد وتصرف,2025-07-11T18:21:30.648377,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10139,410139,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.12,108.8399,114.945,107.92,96.81,104.215,2025-07-11T22:17:28.616442,نعم,,سنوات,FG+AR,المعهد العالي لأصول الدين بتونس,تونس,الإجازة في العلوم الشرعية,جامعة الزيتونة,,05,جامعة الزيتونة
,5,العلوم التقنية,2025-07-11T18:21:30.505685,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10107,510107,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.105,0.0,93.8523,96.4338,96.7288,103.9764,2025-07-11T22:17:33.289259,نعم,,سنوات,FG+(AR+ANG+F)/3,المعهد العالي للغات بتونس,تونس,الإجازة في الروسية,جامعة قرطاج,,04,جامعة  قرطاج
,6,علوم الإعلامية,2025-07-11T18:21:30.822911,detailed,الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10209,610209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.6612,108.215,106.4018,108.8682,111.7027,106.1349,2025-07-11T22:17:38.156461,نعم,,سنوات,FG+PH,المعهد العالى للفنون الجميلة بتونس,تونس,الاجازة في تصميم الصورة,جامعة تونس,,01,جامعة تونس
,1,آداب,2025-07-11T18:21:30.745120,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.760197,,"العنوان :
الهاتف :",10120,110120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110120,95.225,95.7917,98.0388,87.925,95.725,99.296,100.9278,101.8908,117.9729,111.0232,121.659,111.7883,109.5627,109.6857,2025-07-11T22:17:42.901289,نعم,,سنوات,FG+(HG+PH)/2,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في عـلــم الاجتماع,جامعة تونس,,01,جامعة تونس
